,자동차검사소유형,위치,검사기술인력수,위도,경도,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부
233,민간,전라북도,1,35.95105047,127.664695,N,Y,N,Y,N,Y,Y
234,민간,인천광역시,8,37.525767,126.70408400000001,N,Y,N,N,N,N,Y
235,민간,서울특별시,4,37.59886812,127.09332420000001,N,Y,N,Y,N,Y,Y
236,민간,서울특별시,4,37.503648600000005,126.8615908,N,Y,N,N,N,Y,Y
237,민간,서울특별시,4,37.48215178,126.887403,N,Y,N,N,N,Y,Y
238,민간,서울특별시,3,37.503541,126.873731,N,Y,N,N,N,Y,Y
239,민간,강원특별자치도,1,37.42849756,129.18563659999998,N,Y,N,N,N,N,Y
240,민간,강원특별자치도,2,37.45388506,129.17773789999998,N,Y,N,N,N,N,Y
241,민간,강원특별자치도,1,37.18264517,129.3275609,N,Y,N,N,N,N,N
242,민간,경상남도,4,34.88258181,127.8843604,Y,Y,N,N,N,N,Y
243,민간,경상남도,5,34.8268977,127.91239309999999,Y,Y,N,N,N,N,Y
244,민간,경상남도,5,34.830666,127.9103717,Y,Y,N,N,N,N,Y
245,민간,전라남도,1,35.21732334,127.4624660566,N,Y,N,N,N,Y,Y
246,민간,전라남도,1,35.210015984,127.4713985065,N,Y,N,N,N,Y,Y
247,민간,강원특별자치도,1,37.42849756,129.18563659999998,N,Y,N,N,N,N,Y
248,민간,강원특별자치도,2,37.45388506,129.17773789999998,N,Y,N,N,N,N,Y
249,민간,강원특별자치도,1,37.18264517,129.3275609,N,Y,N,N,N,N,N
250,민간,강원특별자치도,3,37.6720787351,127.85412720139999,N,Y,N,N,N,N,Y
251,민간,강원특별자치도,9,37.6820272681,127.8543725386,N,Y,N,N,N,N,Y
252,민간,강원특별자치도,1,37.6241399294,127.7727783056,N,Y,N,N,N,N,N
253,민간,강원특별자치도,3,37.6720787351,127.85412720139999,N,Y,N,N,N,N,Y
